corpus,file_path,respect_boundaries,stream_len,n_segments,n_windows,W,step,top_n,max_lag,short_lag_to,block,perm,seed,global_overlap_obs,global_overlap_null_mean,global_overlap_null_sd,z_global_overlap,short_overlap_obs,short_overlap_null_mean,short_overlap_null_sd,z_short_overlap,best_lag,best_lag_overlap
deuteronomy,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\deuteronomy_phonetic.txt,0,40732,1,1624,150,25,3,20,5,80,1000,1,1.506662534862101,1.4215866129532073,0.01749786820292033,4.862073535031818,1.9543491671807527,1.855784700801974,0.018096140098542383,5.446712163038448,1,2.3992606284658042
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,1.674058467210956,1.508012457203055,0.01599863101123255,10.37876365117246,2.0693599160545646,1.9251995802728226,0.01679902935417293,8.581468175477184,1,2.469077568134172
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,0,57435,1,2292,150,25,3,20,5,80,1000,1,1.676923076923077,1.524911724742494,0.014859423486724975,10.229962980487503,2.068588903451289,1.935582000873744,0.015322313149775378,8.680602026430632,1,2.4648625054561326
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,0,23072,1,917,150,25,3,20,5,80,1000,1,1.861334804191947,1.8242876999448427,0.022453724987982322,1.6499313261800739,2.1610503282275713,2.120145295404814,0.02221147326494144,1.8416172729668419,1,2.495633187772926
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,0,33694,1,1342,150,25,3,20,5,80,1000,1,1.756627863312054,1.592801426962073,0.01847064235882591,8.869558143531437,2.130843913368185,1.9869662434652726,0.019349877670076,7.4355855037479115,1,2.495152870991797
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,0,47843,1,1908,150,25,3,20,5,80,1000,1,1.6525164690382081,1.5594535968379446,0.0163982048015395,5.675186602836342,2.076010498687664,1.9533744881889763,0.016427974065738447,7.465072078148263,1,2.462506554798112
