corpus,file_path,respect_boundaries,stream_len,n_segments,n_windows,W,step,top_n,max_lag,short_lag_to,block,perm,seed,lag,mean_overlap_obs,mean_overlap_null_mean,mean_overlap_null_sd,z_lag_overlap,n_pairs
deuteronomy,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\deuteronomy_phonetic.txt,0,40732,1,1624,150,25,3,20,5,80,1000,1,15,1.3480422622747048,1.2735593536357985,0.02814237514075898,2.646646143630986,1609
deuteronomy,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\deuteronomy_phonetic.txt,0,40732,1,1624,150,25,3,20,5,80,1000,1,16,1.333955223880597,1.2737723880597014,0.028954564877483054,2.078526687434272,1608
deuteronomy,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\deuteronomy_phonetic.txt,0,40732,1,1624,150,25,3,20,5,80,1000,1,17,1.3235843186060983,1.273801493466086,0.029095896951499382,1.7109912515498815,1607
deuteronomy,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\deuteronomy_phonetic.txt,0,40732,1,1624,150,25,3,20,5,80,1000,1,18,1.3188044831880448,1.2736662515566626,0.029236558464127902,1.54389688809526,1606
deuteronomy,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\deuteronomy_phonetic.txt,0,40732,1,1624,150,25,3,20,5,80,1000,1,19,1.325233644859813,1.2736841121495328,0.028965877704885293,1.7796641011705299,1605
deuteronomy,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\deuteronomy_phonetic.txt,0,40732,1,1624,150,25,3,20,5,80,1000,1,20,1.3173316708229426,1.2740872817955111,0.028753300399759877,1.503980010162332,1604
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,1,2.469077568134172,2.3926960167714886,0.01362127269182126,5.607519436017604,1908
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,2,2.2233875196643944,2.112162558993183,0.016143876782611713,6.889606639652373,1907
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,3,2.039349422875131,1.8884522560335781,0.01884996736505665,8.00516859892714,1906
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,4,1.8808398950131233,1.6977837270341207,0.022206428928825357,8.243386118755188,1905
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,5,1.7331932773109244,1.5337846638655461,0.023998559283980574,8.309191026249929,1904
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,6,1.5932737782448765,1.3963646873357856,0.02557498387939411,7.699285045013911,1903
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,7,1.5704521556256572,1.374511566771819,0.02521835982038558,7.769759423269354,1902
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,8,1.5528669121514993,1.3671914781693846,0.025599640133775522,7.25304859802069,1901
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,9,1.5421052631578946,1.365973157894737,0.025850492791479367,6.813491204361603,1900
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,10,1.535018430753028,1.3658483412322275,0.02597336345292697,6.513214579520944,1899
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,11,1.5289778714436248,1.3654662802950475,0.026029700749805963,6.281731500497418,1898
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,12,1.5450711649973643,1.365182393252504,0.02611029655291524,6.889572141790765,1897
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,13,1.5585443037974684,1.3646292194092826,0.025800895485652103,7.515827677222372,1896
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,14,1.5699208443271768,1.3644337730870713,0.025838534821444655,7.952736974449568,1895
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,15,1.5549102428722281,1.3646441393875397,0.025497088066550662,7.462267965191537,1894
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,16,1.548864236661384,1.3652091917591125,0.02570709220837675,7.144139189823535,1893
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,0,47871,1,1909,150,25,3,20,5,80,1000,1,17,1.534355179704017,1.3654920718816068,0.0258999540041839,6.51982269138902,1892
