book,R,block,perm,seed,n_phrases,n_valid_final_tails,score,null_mean,Z
deuteronomy,10,20,200,1,3152,3044,1.538107752956636,1.3805519053876478,7.859085361231026
exodus,10,20,200,1,3825,3600,1.123888888888889,0.987875,11.490657417392566
genesis,10,20,200,1,4869,4676,1.1047904191616766,0.9523887938408897,15.491725538611997
hagamad,10,20,200,1,1400,1342,0.5648286140089419,0.5491728763040239,1.2193704182116096
leviticus,10,20,200,1,2657,2526,1.3285827395091052,1.1318408551068884,13.712352746908604
numbers,10,20,200,1,3792,3621,1.0566141949737642,0.9088677161005247,15.595057201992743
