book,mean,var,min,max,n_windows
genesis,0.022449075185460594,1.2533023040110857e-05,0.017417926003126628,0.0340411672746222,89
exodus,0.022877402871866133,1.0782796069796232e-05,0.01728764981761334,0.033871808233454925,72
leviticus,0.02289812402292861,8.934085613245783e-06,0.018069306930693068,0.030536737884314748,50
numbers,0.023177038098546696,1.249895060192754e-05,0.01838196977592496,0.037819176654507555,72
deuteronomy,0.020857217300677435,6.028327172226758e-06,0.016349661281917664,0.02821782178217822,63
hagamad,0.01601860650461331,2.1338562472821905e-06,0.013692027097446586,0.01881188118811881,34
