file,gap,gap_boundary,z_full,z_segment
data\data_processed\torah\genesis_phonetic.txt,2673.326460548323,12.546947043810587,-136.9498354901601,-21.29996567096234
data\data_processed\torah\exodus_phonetic.txt,2325.976976172466,12.9006304872951,-140.77729680440672,-27.680541394692657
data\data_processed\torah\leviticus_phonetic.txt,1860.235051369863,13.108767269640557,-126.56088466387969,-29.04190500761424
data\data_processed\torah\numbers_phonetic.txt,2207.1666844735687,13.141922395695579,-139.9642562418596,-32.30708906547951
data\data_processed\torah\deuteronomy_phonetic.txt,2398.4831466880237,13.524774418373909,-119.38088873419309,-8.044903014161317
data\data_processed\modern\hagamad_phonetic.txt,2292.680174303309,17.89999418127193,-77.21051274517639,-5.611577302123857
