file,book,k,perm,seed,gap_baseline,gap_boundary,null_full_mean,null_full_sd,z_full,null_segment_mean,null_segment_sd,z_segment
data\data_processed\torah\genesis_phonetic.txt,genesis,3,1000,1,2673.326460548323,14.350137849547066,5861.97722994419,23.283348665467894,-136.9498354901601,2916.7593189211752,11.428791113251293,-21.29996567096234
data\data_processed\torah\exodus_phonetic.txt,exodus,3,1000,1,2325.976976172466,16.57700121901666,5529.548845761294,22.756310444288534,-140.77729680440672,2666.873570386603,12.315387526325592,-27.680541394692657
data\data_processed\torah\leviticus_phonetic.txt,leviticus,3,1000,1,1860.235051369863,15.333949476278496,4720.218824399898,22.59769106881307,-126.56088466387969,2208.579342442498,11.994539992514456,-29.04190500761424
data\data_processed\torah\numbers_phonetic.txt,numbers,3,1000,1,2207.1666844735687,15.73221117061974,5588.69864335483,24.15996804954217,-139.9642562418596,2601.2405138408812,12.197751043698483,-32.30708906547951
data\data_processed\torah\deuteronomy_phonetic.txt,deuteronomy,3,1000,1,2398.4831466880237,16.50047169811321,5101.962273028035,22.645828448801627,-119.38088873419309,2503.387239566132,13.039820703052259,-8.044903014161317
data\data_processed\modern\hagamad_phonetic.txt,hagamad,3,1000,1,2292.680174303309,23.7131914893617,4077.5425003111486,23.116830371254675,-77.21051274517639,2362.849668928447,12.504415576451317,-5.611577302123857
