book,L,block,perm,seed,n_words,n_valid_tails,matches,comparisons,rate,null_mean,null_sd,Z
deuteronomy,40,50,200,1,14269,14234,23962,567176,0.04224790893831897,0.03731179997728288,0.0002866248624405483,17.22149613612092
exodus,40,50,200,1,16701,16666,26209,664466,0.03944370366580081,0.033810753828735274,0.0002284181645348032,24.660691274433486
genesis,40,50,200,1,20596,20590,27894,822541,0.03391198736597933,0.029283912594849644,0.0001501760496903782,30.817662208264927
hagamad,40,50,200,1,8223,8207,7390,326825,0.022611489329151687,0.021415742911987463,0.0001802211068860932,6.634885546008675
leviticus,40,50,200,1,11945,11808,18586,466373,0.03985222129068364,0.03328838938454936,0.0002669531437486504,24.587955076919606
numbers,40,50,200,1,16404,16360,24580,651878,0.03770644200295147,0.03224108875767422,0.00019884433345884416,27.485587093224567
