corpus,file_path,stream_len,n_segments,L,mode,k,min_freq,max_lag,R,min_jaccard,block,perm,seed,lag,mean_jaccard_obs,mean_jaccard_null_mean,mean_jaccard_null_sd,z_lag_jaccard,n_pairs
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,33694,224,150,topk,3,,10,5,0.5,80,1000,1,9,0.3516279069767442,0.35522093023255813,0.016042664688856755,-0.22396673654281826,215
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,33694,224,150,topk,3,,10,5,0.5,80,1000,1,10,0.3401869158878505,0.3549551401869159,0.016152463713774615,-0.9143016545811044,214
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,1,0.4189274447949527,0.3542305993690852,0.012524577352742922,5.16559110968313,317
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,2,0.36075949367088606,0.34617689873417723,0.012677234302803517,1.1502978164159943,316
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,3,0.35904761904761906,0.3463546031746032,0.012568986098306839,1.0098679220216278,315
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,4,0.3671974522292994,0.3454136942675159,0.012765283883076095,1.7064844120438152,314
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,5,0.32619808306709264,0.3457431309904153,0.012485919859388383,-1.565367080954505,313
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,6,0.32724358974358975,0.34554935897435896,0.01244117900995685,-1.4713854061676024,312
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,7,0.3257234726688103,0.3458742765273312,0.012567574356555674,-1.603396430116172,311
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,8,0.33838709677419354,0.3459216129032258,0.012724584147521964,-0.5921227791557792,310
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,9,0.3339805825242719,0.3452485436893204,0.012662909269354197,-0.8898398405426768,309
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,10,0.2996753246753247,0.34562889610389613,0.012001014703648467,-3.8291404988113995,308
