corpus,file_path,stream_len,n_segments,L,mode,k,min_freq,max_lag,R,min_jaccard,block,perm,seed,adjacent_jaccard_obs,adjacent_jaccard_null_mean,adjacent_jaccard_null_sd,z_adjacent_jaccard,recurrence_rate_obs,recurrence_rate_null_mean,recurrence_rate_null_sd,z_recurrence_rate,dominance_mass_obs,dominance_mass_null_mean,dominance_mass_null_sd,z_dominance_mass
deuteronomy,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\deuteronomy_phonetic.txt,40732,271,150,topk,3,,10,5,0.5,80,1000,1,0.34,0.30876592592592594,0.01287452251701601,2.4260374730629897,0.8782287822878229,0.8473874538745387,0.018553891561152787,1.662256584373823,0.3586715867158672,0.34933945879458794,0.0010997492579722457,8.485686945118864
exodus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\exodus_phonetic.txt,47871,319,150,topk,3,,10,5,0.5,80,1000,1,0.39433962264150946,0.3366738993710692,0.012243139843234503,4.710043665988677,0.9090909090909091,0.889601880877743,0.015982515370086634,1.219396807191087,0.37260188087774293,0.36063609195402296,0.0010288777216710305,11.629942676070366
genesis,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\genesis_phonetic.txt,57435,382,150,topk,3,,10,5,0.5,80,1000,1,0.4026246719160105,0.3415664041994751,0.011334130116330051,5.387115472458139,0.9214659685863874,0.8959633507853403,0.014215753045798791,1.793968825913444,0.3750959860383944,0.365097277486911,0.0008541595102106778,11.705903208895032
hagamad,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\modern\hagamad_phonetic.txt,23072,153,150,topk,3,,10,5,0.5,80,1000,1,0.4440789473684211,0.4404921052631579,0.018170639310821975,0.1973976833675265,0.954248366013072,0.9535686274509804,0.014663241010585363,0.04635663845400065,0.35154684095860567,0.3478940305010893,0.0010935897121944458,3.340201921053621
leviticus,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\leviticus_phonetic.txt,33694,224,150,topk,3,,10,5,0.5,80,1000,1,0.43094170403587445,0.36522107623318384,0.015108093510872585,4.350027867870593,0.9196428571428571,0.9107321428571429,0.017238146622522734,0.516918348639163,0.3788392857142857,0.3652149107142857,0.0011955754476575984,11.395663089847856
numbers,D:\HaShira-Lab\torah-phonetic-architecture\data\data_processed\torah\numbers_phonetic.txt,47843,318,150,topk,3,,10,5,0.5,80,1000,1,0.4189274447949527,0.3542305993690852,0.012524577352742922,5.16559110968313,0.8805031446540881,0.891996855345912,0.01616057745491412,-0.7112190590893092,0.3710901467505241,0.3583795387840671,0.0009727902433520877,13.06613430111941
