idx,rate
0,0.30875
1,0.29
2,0.2875
3,0.28
4,0.26125
5,0.24875
6,0.22375
7,0.215
8,0.2075
9,0.18375
10,0.1975
11,0.22875
12,0.23
13,0.25625
14,0.2475
15,0.25125
16,0.28375
17,0.2825
18,0.2975
19,0.25875
20,0.235
21,0.23
22,0.22875
23,0.235
24,0.24875
25,0.2525
26,0.255
27,0.2675
28,0.2575
29,0.25125
30,0.22625
31,0.20875
32,0.2025
33,0.20875
34,0.23375
35,0.24375
36,0.25625
37,0.26125
38,0.24625
39,0.25375
40,0.29
41,0.3
42,0.30875
43,0.3025
44,0.2575
45,0.23875
46,0.24125
47,0.23125
48,0.225
49,0.22125
50,0.20375
51,0.20875
52,0.20375
53,0.19625
54,0.1925
55,0.21
56,0.2125
57,0.1925
58,0.2025
59,0.19625
60,0.20625
61,0.22
62,0.20625
63,0.19625
64,0.18375
65,0.19125
66,0.20125
67,0.1925
68,0.19625
69,0.19625
70,0.19375
71,0.1875
72,0.19375
73,0.1825
74,0.1975
75,0.20125
76,0.2075
77,0.21375
78,0.19375
79,0.205
80,0.205
81,0.2175
82,0.2325
83,0.24
84,0.25125
85,0.25875
86,0.265
87,0.25875
88,0.22375
89,0.20875
90,0.18875
91,0.1825
92,0.20375
93,0.2075
94,0.21375
95,0.21625
96,0.205
97,0.2075
98,0.22125
99,0.22
100,0.2325
101,0.2375
102,0.22125
103,0.22125
104,0.22
105,0.2025
106,0.21625
107,0.21
108,0.21
109,0.2225
110,0.2125
111,0.21875
112,0.22375
113,0.2175
114,0.215
115,0.22625
116,0.22125
117,0.23
118,0.23375
119,0.2375
120,0.24125
121,0.24625
122,0.25625
123,0.22625
124,0.22
125,0.21625
126,0.2125
127,0.25
128,0.26
129,0.2525
130,0.25625
131,0.225
132,0.2225
133,0.23875
134,0.21625
135,0.22375
136,0.20375
137,0.19625
138,0.195
139,0.1875
140,0.18875
141,0.17125
142,0.18875
143,0.19875
144,0.21
145,0.24125
146,0.235
147,0.235
148,0.25
149,0.2575
150,0.25375
151,0.28375
152,0.26375
153,0.23625
154,0.245
155,0.20375
156,0.18875
157,0.195
158,0.185
159,0.185
160,0.1925
161,0.19625
162,0.21
163,0.235
164,0.24625
165,0.25375
166,0.2625
167,0.27875
168,0.30875
169,0.2925
170,0.29875
171,0.28125
172,0.245
173,0.23625
174,0.22375
175,0.24375
176,0.25875
177,0.2775
178,0.28375
179,0.25
180,0.245
181,0.22875
182,0.21625
183,0.22625
184,0.22
185,0.22375
186,0.21625
187,0.2125
188,0.2225
189,0.22
190,0.22125
191,0.2325
192,0.23375
193,0.22875
194,0.225
195,0.205
196,0.195
197,0.1975
198,0.215
199,0.2125
200,0.20875
201,0.215
202,0.2075
203,0.2125
204,0.2075
205,0.2025
206,0.2025
207,0.20625
208,0.23875
209,0.245
210,0.24125
211,0.2325
212,0.21125
213,0.2025
214,0.20375
215,0.205
216,0.19
217,0.18375
218,0.17375
219,0.18125
220,0.19375
221,0.205
222,0.22375
223,0.23
224,0.225
225,0.22
226,0.22
227,0.21125
228,0.24375
229,0.24
230,0.2375
231,0.24375
232,0.2175
233,0.2275
234,0.21375
235,0.20125
236,0.18875
237,0.1775
238,0.175
239,0.1975
240,0.205
241,0.20625
242,0.22
243,0.1975
