book,L,Dmax,block,perm,seed,stream_len,obs_global,null_global_mean,null_global_sd,z_global
deuteronomy,20,40,50,200,1,31111,0.23911156825560093,0.2291200861431648,0.0010374170833911103,9.631113919751513
exodus,20,40,50,200,1,35818,0.24875760790663912,0.23169872689709084,0.0007856857179984929,21.712092531101604
genesis,20,40,50,200,1,43749,0.25920592470685044,0.24674872568515852,0.0007028610920050791,17.723557561217103
hagamad,20,40,50,200,1,17463,0.19280765046097464,0.19041516348851859,0.0012204763798569068,1.960289450858986
leviticus,20,40,50,200,1,25190,0.24930527987296547,0.23182691544263598,0.001144062928053048,15.277450218646585
numbers,20,40,50,200,1,35834,0.24937210470502874,0.23345719149411173,0.0008447630759556994,18.839499102055463
