file,book,mode,block_size,n_perm,seed,lexical_tokens,boundary_count_removed,stream_len,total_events,types_total,types_repeated,token_repeat_fraction,type_repeat_fraction,mean_gap,median_gap,n_gaps,null_token_repeat_mean,null_token_repeat_sd,z_token_repeat,null_type_repeat_mean,null_type_repeat_sd,z_type_repeat,null_mean_gap_mean,null_mean_gap_sd,z_mean_gap
data\data_processed\torah\deuteronomy_phonetic.txt,deuteronomy,exact,80,1000,1,14269,3152,76646,40731,2282,1753,0.9870123493162456,0.7681858019281332,1256.1471559728473,245,38449,0.9829932783769216,0.00031658773652855067,12.694967225812032,0.720980036292411,0.00417808612201006,11.298418523984783,1329.7461623666052,9.032205719623994,-8.148508645441018
data\data_processed\torah\exodus_phonetic.txt,exodus,exact,80,1000,1,16701,3825,88943,47869,2304,1843,0.9903695502308383,0.7999131944444444,1231.7546801272906,221,45565,0.9864133053808618,0.00028493945473820375,13.884510495787215,0.7439898062006661,0.004395176958546685,12.723808113125436,1434.6314429384647,8.73520988329323,-23.225173238160167
data\data_processed\torah\genesis_phonetic.txt,genesis,exact,80,1000,1,20596,4869,106895,57433,2487,2024,0.9919384326084307,0.8138319260152794,1408.1510574018127,229,54946,0.9884397620811567,0.00023347681874485326,14.98508736791311,0.7574742523953263,0.004065488296223416,13.862461164211414,1566.011054615928,8.248069995695426,-19.13902249817238
data\data_processed\modern\hagamad_phonetic.txt,hagamad,exact,80,1000,1,8223,1399,42556,23070,2316,1687,0.9727351538794972,0.7284110535405872,1222.9326394911825,359,20754,0.9679502116201105,0.00048627493092531207,9.839993705374802,0.6974527517374388,0.0036554944407008135,8.46897794685559,1264.405890733973,8.607717053782409,-4.818147597517301
data\data_processed\torah\leviticus_phonetic.txt,leviticus,exact,80,1000,1,11945,2657,62143,33692,1969,1517,0.9865843523685148,0.7704418486541391,980.918355767109,180,31723,0.9817136463910249,0.00038059527378578827,12.797599741691352,0.716147836430415,0.004727173791905977,11.485512192652637,1168.0395705689202,8.069223910961366,-23.189493421743162
data\data_processed\torah\numbers_phonetic.txt,numbers,exact,80,1000,1,16404,3792,88451,47842,2225,1785,0.9908030600727394,0.802247191011236,1169.1482342109302,192,45617,0.9864994440321792,0.0002795235878732163,15.396253580260574,0.738501062496353,0.004422978837241324,14.412487796265925,1375.9495978033722,8.642378664903863,-23.928755220162802
