file,book,k,mode,block_size,n_perm,seed,lexical_tokens,boundary_count_removed,stream_len,total_kgrams,types_total,types_repeated,token_repeat_fraction,type_repeat_fraction,hapax_fraction,mean_gap,median_gap,n_gaps,null_token_repeat_mean,null_token_repeat_sd,z_token_repeat,null_type_repeat_mean,null_type_repeat_sd,z_type_repeat,null_mean_gap_mean,null_mean_gap_sd,z_mean_gap
data\data_processed\torah\deuteronomy_phonetic.txt,deuteronomy,3,exact,80,1000,1,14269,3152,76646,76644,4225,3309,0.9880486404676165,0.7831952662721894,0.21680473372781064,2398.4831466880237,493,72419,0.9855576822712802,0.00021106867858880537,11.801647752716326,0.7541039061303297,0.003022214049893114,9.625843723044207,2546.91540089404,13.275079712963427,-11.181270275994555
data\data_processed\torah\exodus_phonetic.txt,exodus,3,exact,80,1000,1,16701,3825,88943,88941,4333,3481,0.9904206159139205,0.8033694899607662,0.1966305100392338,2325.976976172466,420.0,84608,0.988017607177792,0.00019033165454167684,12.625376172529123,0.7709129360353995,0.0030949742248673313,10.486857584979727,2719.29030423008,12.991596960109474,-30.274440414467698
data\data_processed\torah\genesis_phonetic.txt,genesis,3,exact,80,1000,1,20596,4869,106895,106893,4654,3820,0.9921978052819175,0.8207993124194242,0.17920068758057586,2673.326460548323,441,102239,0.9901419456840017,0.00014739095285317135,13.948343219978923,0.7880248237080396,0.002736380249503255,11.977315183931116,2970.8296408323354,11.901747165130521,-24.99659723537318
data\data_processed\modern\hagamad_phonetic.txt,hagamad,3,exact,80,1000,1,8223,1399,42556,42554,4230,3170,0.9750904732810076,0.7494089834515366,0.25059101654846333,2292.680174303309,733.0,38324,0.9720906142783288,0.00032789723203251485,9.148778060991315,0.7305487886052628,0.002631042061706954,7.1683365008759115,2398.334627230506,11.92279035064455,-8.86155420165428
data\data_processed\torah\leviticus_phonetic.txt,leviticus,3,exact,80,1000,1,11945,2657,62143,62141,3741,2885,0.9862248756859401,0.7711841753541834,0.22881582464581662,1860.235051369863,336.0,58400,0.9829613620636939,0.0002574121648609586,12.678163924416642,0.7373956985994314,0.003286052299890203,10.282391657576756,2236.052728208079,12.431333082796156,-30.23148638486034
data\data_processed\torah\numbers_phonetic.txt,numbers,3,exact,80,1000,1,16404,3792,88451,88449,4212,3384,0.9906386731336703,0.8034188034188035,0.19658119658119658,2207.1666844735687,354,84237,0.9879225542402966,0.00018805277811794504,14.443386162953235,0.7651216662516982,0.003113541158140075,12.300186579188399,2634.6903512977055,12.823185456707117,-33.33989579013086
