book,mode,k,block_size,n_perm,z_token_repeat,z_type_repeat,z_mean_gap,token_repeat_fraction,type_repeat_fraction,mean_gap
deuteronomy,exact,3,80,1000,11.801647752716326,9.625843723044207,-11.181270275994555,0.9880486404676165,0.7831952662721894,2398.4831466880237
exodus,exact,3,80,1000,12.625376172529123,10.486857584979727,-30.274440414467698,0.9904206159139205,0.8033694899607662,2325.976976172466
genesis,exact,3,80,1000,13.948343219978923,11.977315183931116,-24.99659723537318,0.9921978052819175,0.8207993124194242,2673.326460548323
hagamad,exact,3,80,1000,9.148778060991315,7.1683365008759115,-8.86155420165428,0.9750904732810076,0.7494089834515366,2292.680174303309
leviticus,exact,3,80,1000,12.678163924416642,10.282391657576756,-30.23148638486034,0.9862248756859401,0.7711841753541834,1860.235051369863
numbers,exact,3,80,1000,14.443386162953235,12.300186579188399,-33.33989579013086,0.9906386731336703,0.8034188034188035,2207.1666844735687
